Kategorie: Alle Kategorien

Woche,Disneyland Paris: (Weltweit)
2023-01-01,100
2023-01-08,87
2023-01-15,80
2023-01-22,78
2023-01-29,70
2023-02-05,68
2023-02-12,70
2023-02-19,72
2023-02-26,63
2023-03-05,71
2023-03-12,77
2023-03-19,67
2023-03-26,72
2023-04-02,71
2023-04-09,75
2023-04-16,68
2023-04-23,69
2023-04-30,64
2023-05-07,64
2023-05-14,69
2023-05-21,68
2023-05-28,70
2023-06-04,69
2023-06-11,61
2023-06-18,63
2023-06-25,63
2023-07-02,64
2023-07-09,72
2023-07-16,66
2023-07-23,72
2023-07-30,75
2023-08-06,76
2023-08-13,74
2023-08-20,70
2023-08-27,76
2023-09-03,72
2023-09-10,86
2023-09-17,78
2023-09-24,73
2023-10-01,76
2023-10-08,70
2023-10-15,66
2023-10-22,68
2023-10-29,62
2023-11-05,65
2023-11-12,68
2023-11-19,68
2023-11-26,60
2023-12-03,59
2023-12-10,57
2023-12-17,60
2023-12-24,82
2023-12-31,90
