Kategorie: Alle Kategorien

Woche,train travel in France: (Weltweit)
2023-01-01,82
2023-01-08,84
2023-01-15,74
2023-01-22,62
2023-01-29,81
2023-02-05,72
2023-02-12,54
2023-02-19,77
2023-02-26,77
2023-03-05,82
2023-03-12,72
2023-03-19,74
2023-03-26,76
2023-04-02,54
2023-04-09,82
2023-04-16,63
2023-04-23,79
2023-04-30,84
2023-05-07,69
2023-05-14,54
2023-05-21,75
2023-05-28,83
2023-06-04,52
2023-06-11,100
2023-06-18,56
2023-06-25,59
2023-07-02,80
2023-07-09,71
2023-07-16,55
2023-07-23,64
2023-07-30,49
2023-08-06,65
2023-08-13,71
2023-08-20,48
2023-08-27,67
2023-09-03,66
2023-09-10,54
2023-09-17,49
2023-09-24,54
2023-10-01,52
2023-10-08,64
2023-10-15,36
2023-10-22,36
2023-10-29,27
2023-11-05,36
2023-11-12,33
2023-11-19,35
2023-11-26,58
2023-12-03,55
2023-12-10,34
2023-12-17,35
2023-12-24,53
2023-12-31,67
