Kategorie: Alle Kategorien

Woche,France public transportation: (Weltweit)
2023-01-01,56
2023-01-08,57
2023-01-15,0
2023-01-22,61
2023-01-29,67
2023-02-05,72
2023-02-12,0
2023-02-19,0
2023-02-26,60
2023-03-05,0
2023-03-12,82
2023-03-19,0
2023-03-26,83
2023-04-02,0
2023-04-09,57
2023-04-16,76
2023-04-23,69
2023-04-30,75
2023-05-07,100
2023-05-14,76
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,85
2023-06-18,59
2023-06-25,60
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,95
2023-08-06,0
2023-08-13,0
2023-08-20,60
2023-08-27,0
2023-09-03,87
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,56
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,57
2023-11-19,0
2023-11-26,0
2023-12-03,69
2023-12-10,55
2023-12-17,0
2023-12-24,0
2023-12-31,0
