Kategorie: Alle Kategorien

Woche,train travel in France: (Weltweit)
2018-12-30,75
2019-01-06,100
2019-01-13,48
2019-01-20,49
2019-01-27,34
2019-02-03,55
2019-02-10,54
2019-02-17,48
2019-02-24,55
2019-03-03,36
2019-03-10,72
2019-03-17,63
2019-03-24,47
2019-03-31,88
2019-04-07,42
2019-04-14,39
2019-04-21,59
2019-04-28,59
2019-05-05,39
2019-05-12,56
2019-05-19,78
2019-05-26,58
2019-06-02,56
2019-06-09,48
2019-06-16,58
2019-06-23,73
2019-06-30,59
2019-07-07,39
2019-07-14,57
2019-07-21,53
2019-07-28,66
2019-08-04,46
2019-08-11,49
2019-08-18,42
2019-08-25,38
2019-09-01,51
2019-09-08,37
2019-09-15,50
2019-09-22,50
2019-09-29,46
2019-10-06,38
2019-10-13,37
2019-10-20,0
2019-10-27,46
2019-11-03,28
2019-11-10,32
2019-11-17,41
2019-11-24,41
2019-12-01,35
2019-12-08,46
2019-12-15,33
2019-12-22,55
2019-12-29,58
