Kategorie: Alle Kategorien

Woche,Arc de Triomphe: (Weltweit)
2021-12-26,73
2022-01-02,69
2022-01-09,37
2022-01-16,33
2022-01-23,38
2022-01-30,42
2022-02-06,46
2022-02-13,48
2022-02-20,44
2022-02-27,46
2022-03-06,47
2022-03-13,47
2022-03-20,48
2022-03-27,51
2022-04-03,52
2022-04-10,58
2022-04-17,56
2022-04-24,55
2022-05-01,55
2022-05-08,53
2022-05-15,50
2022-05-22,58
2022-05-29,54
2022-06-05,51
2022-06-12,49
2022-06-19,51
2022-06-26,48
2022-07-03,52
2022-07-10,56
2022-07-17,51
2022-07-24,64
2022-07-31,53
2022-08-07,59
2022-08-14,57
2022-08-21,49
2022-08-28,47
2022-09-04,47
2022-09-11,51
2022-09-18,54
2022-09-25,82
2022-10-02,100
2022-10-09,48
2022-10-16,50
2022-10-23,56
2022-10-30,52
2022-11-06,50
2022-11-13,47
2022-11-20,39
2022-11-27,40
2022-12-04,40
2022-12-11,46
2022-12-18,44
2022-12-25,82
