Kategorie: Alle Kategorien

Woche,Arc de Triomphe: (Weltweit)
2020-12-27,5
2021-01-03,4
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,4
2021-02-21,5
2021-02-28,5
2021-03-07,4
2021-03-14,4
2021-03-21,5
2021-03-28,4
2021-04-04,4
2021-04-11,4
2021-04-18,4
2021-04-25,4
2021-05-02,5
2021-05-09,8
2021-05-16,6
2021-05-23,6
2021-05-30,5
2021-06-06,6
2021-06-13,6
2021-06-20,6
2021-06-27,6
2021-07-04,7
2021-07-11,9
2021-07-18,9
2021-07-25,8
2021-08-01,9
2021-08-08,9
2021-08-15,9
2021-08-22,9
2021-08-29,9
2021-09-05,13
2021-09-12,100
2021-09-19,79
2021-09-26,57
2021-10-03,47
2021-10-10,15
2021-10-17,12
2021-10-24,12
2021-10-31,12
2021-11-07,12
2021-11-14,10
2021-11-21,8
2021-11-28,8
2021-12-05,8
2021-12-12,8
2021-12-19,8
2021-12-26,16
