Kategorie: Alle Kategorien

Woche,train travel in France: (Weltweit)
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,44
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,36
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,36
2021-05-09,0
2021-05-16,44
2021-05-23,62
2021-05-30,50
2021-06-06,52
2021-06-13,40
2021-06-20,74
2021-06-27,56
2021-07-04,50
2021-07-11,97
2021-07-18,80
2021-07-25,80
2021-08-01,62
2021-08-08,100
2021-08-15,53
2021-08-22,69
2021-08-29,45
2021-09-05,67
2021-09-12,56
2021-09-19,61
2021-09-26,57
2021-10-03,57
2021-10-10,57
2021-10-17,64
2021-10-24,81
2021-10-31,69
2021-11-07,59
2021-11-14,51
2021-11-21,0
2021-11-28,76
2021-12-05,58
2021-12-12,70
2021-12-19,71
2021-12-26,85
